transaction_id,timestamp,room,severity,anomaly_score,violated_count,applicable_count,top_violated_rule
41473,2018-07-29 00:24:10,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41481,2018-07-29 00:24:20,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41482,2018-07-29 00:24:20,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41492,2018-07-29 00:24:20,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41497,2018-07-29 00:24:30,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41502,2018-07-29 00:24:30,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41505,2018-07-29 00:24:40,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41510,2018-07-29 00:24:40,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41513,2018-07-29 00:24:50,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41514,2018-07-29 00:24:50,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41523,2018-07-29 00:24:50,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41524,2018-07-29 00:24:50,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41529,2018-07-29 00:25:00,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41534,2018-07-29 00:25:00,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41537,2018-07-29 00:25:10,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41542,2018-07-29 00:25:10,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41545,2018-07-29 00:25:20,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41546,2018-07-29 00:25:20,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41555,2018-07-29 00:25:20,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41556,2018-07-29 00:25:20,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41561,2018-07-29 00:25:30,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41566,2018-07-29 00:25:30,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41569,2018-07-29 00:25:40,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41574,2018-07-29 00:25:40,A22,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
41577,2018-07-29 00:25:50,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41578,2018-07-29 00:25:50,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41587,2018-07-29 00:25:50,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
41588,2018-07-29 00:25:50,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
41593,2018-07-29 00:26:00,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41598,2018-07-29 00:26:00,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
